call_number,timestamp_ns,timestamp_cycles,delta_ns,delta_cycles,violation
571,46225396000167,115412879310901,154,386,0
572,46225396000321,115412879311285,154,384,0
573,46225396000475,115412879311670,154,385,0
574,46225396000629,115412879312054,154,384,0
575,46225396000784,115412879312438,155,384,0
576,46225396000938,115412879312826,154,388,0
577,46225396001092,115412879313210,154,384,0
578,46225396001246,115412879313594,154,384,0
579,46225396001401,115412879313980,155,386,0
580,46225396001555,115412879314366,154,386,0
581,46225396001710,115412879314752,155,386,0
582,46225396001865,115412879315138,155,386,0
583,46225396002019,115412879315522,154,384,0
584,46225396002173,115412879315908,154,386,0
585,46225396002327,115412879316290,154,382,0
586,46225396002481,115412879316678,154,388,0
587,46225396002636,115412879317063,155,385,0
588,46225396002790,115412879317449,154,386,0
589,46225396002945,115412879317833,155,384,0
590,46225396003099,115412879318219,154,386,0
591,46225396003254,115412879318603,155,384,0
592,46225396003407,115412879318989,153,386,0
593,46225396003561,115412879319375,154,386,0
594,46225396003715,115412879319759,154,384,0
595,46225396003871,115412879320143,156,384,0
596,46225396004028,115412879320539,157,396,0
597,46225396004182,115412879320923,154,384,0
598,46225396004337,115412879321309,155,386,0
599,46225396004491,115412879321695,154,386,0
600,46225396004646,115412879322083,155,388,0
601,46225396004801,115412879322467,155,384,0
602,46225396004955,115412879322853,154,386,0
603,46225396005109,115412879323236,154,383,0
604,46225396005263,115412879323620,154,384,0
605,46225396005416,115412879324006,153,386,0
606,46225396005571,115412879324388,155,382,0
607,46225396005725,115412879324774,154,386,0
608,46225396005879,115412879325160,154,386,0
609,46225396006033,115412879325544,154,384,0
610,46225396006187,115412879325928,154,384,0
611,46225396006342,115412879326312,155,384,0
612,46225396006496,115412879326696,154,384,0
613,46225396006650,115412879327084,154,388,0
614,46225396006805,115412879327470,155,386,0
615,46225396006959,115412879327855,154,385,0
616,46225396007113,115412879328239,154,384,0
617,46225396007267,115412879328623,154,384,0
618,46225396007421,115412879329007,154,384,0
619,46225396007575,115412879329393,154,386,0
620,46225396007729,115412879329779,154,386,0
621,46225396007884,115412879330161,155,382,0
622,46225396008037,115412879330545,153,384,0
623,46225396008191,115412879330931,154,386,0
624,46225396008345,115412879331315,154,384,0
625,46225396008498,115412879331699,153,384,0
626,46225396008653,115412879332083,155,384,0
627,46225396008806,115412879332466,153,383,0
628,46225396008960,115412879332850,154,384,0
629,46225396009113,115412879333232,153,382,0
630,46225396009268,115412879333618,155,386,0
631,46225396009422,115412879334002,154,384,0
632,46225396009576,115412879334386,154,384,0
633,46225396009729,115412879334770,153,384,0
634,46225396009883,115412879335156,154,386,0
635,46225396010037,115412879335540,154,384,0
636,46225396010191,115412879335924,154,384,0
637,46225396010345,115412879336308,154,384,0
638,46225396010500,115412879336693,155,385,0
639,46225396011903,115412879340199,1403,3506,0
640,46225396012109,115412879340711,206,512,0
641,46225396012272,115412879341115,163,404,0
642,46225396012430,115412879341514,158,399,0
643,46225396012589,115412879341908,159,394,0
644,46225396012747,115412879342302,158,394,0
645,46225396012905,115412879342696,158,394,0
646,46225396013062,115412879343088,157,392,0
647,46225396013219,115412879343482,157,394,0
648,46225396013378,115412879343878,159,396,0
649,46225396013534,115412879344268,156,390,0
650,46225396013691,115412879344658,157,390,0
651,46225396013849,115412879345054,158,396,0
652,46225396014005,115412879345442,156,388,0
653,46225396014160,115412879345828,155,386,0
654,46225396014314,115412879346216,154,388,0
655,46225396014469,115412879346600,155,384,0
656,46225396014623,115412879346986,154,386,0
657,46225396014778,115412879347372,155,386,0
658,46225396014932,115412879347758,154,386,0
659,46225396015086,115412879348142,154,384,0
660,46225396015241,115412879348528,155,386,0
661,46225396015394,115412879348913,153,385,0
662,46225396015549,115412879349299,155,386,0
663,46225396015704,115412879349685,155,386,0
664,46225396015858,115412879350071,154,386,0
665,46225396016013,115412879350455,155,384,0
666,46225396016168,115412879350843,155,388,0
667,46225396016323,115412879351225,155,382,0
668,46225396016476,115412879351611,153,386,0
669,46225396016631,115412879351997,155,386,0
670,46225396016785,115412879352383,154,386,0
671,46225396016940,115412879352769,155,386,0
672,46225396017094,115412879353153,154,384,0
673,46225396017248,115412879353539,154,386,0
674,46225396017403,115412879353923,155,384,0
675,46225396017557,115412879354308,154,385,0
676,46225396017712,115412879354694,155,386,0
677,46225396017866,115412879355084,154,390,0
678,46225396018022,115412879355470,156,386,0
679,46225396018177,115412879355856,155,386,0
680,46225396018331,115412879356242,154,386,0
681,46225396018485,115412879356626,154,384,0
682,46225396018640,115412879357010,155,384,0
683,46225396018793,115412879357398,153,388,0
684,46225396018949,115412879357786,156,388,0
685,46225396019103,115412879358170,154,384,0
686,46225396019257,115412879358554,154,384,0
687,46225396019411,115412879358938,154,384,0
688,46225396019567,115412879359326,156,388,0
