measurement_id,time_diff_ns,cycles_diff,zero_diff
790,39,98,0
791,38,98,0
792,40,98,0
793,38,98,0
794,39,96,0
795,38,98,0
796,39,96,0
797,39,96,0
798,40,100,0
799,39,97,0
800,40,97,0
801,39,99,0
802,39,100,0
803,39,99,0
804,39,99,0
805,38,99,0
806,39,101,0
807,39,98,0
808,39,98,0
809,39,97,0
810,39,99,0
811,40,99,0
812,39,101,0
813,39,98,0
814,40,100,0
815,40,99,0
816,39,99,0
817,39,99,0
818,40,99,0
819,40,97,0
820,40,97,0
821,38,101,0
822,39,98,0
823,38,96,0
824,40,98,0
825,39,100,0
826,39,97,0
827,41,97,0
828,39,100,0
829,40,98,0
830,39,100,0
831,39,100,0
832,40,97,0
833,41,97,0
834,40,98,0
835,39,100,0
836,40,100,0
837,39,101,0
838,40,100,0
839,40,99,0
840,39,101,0
841,41,99,0
842,39,101,0
843,39,97,0
844,40,99,0
845,39,98,0
846,40,101,0
847,39,97,0
848,39,99,0
849,40,95,0
850,39,98,0
851,41,98,0
852,39,100,0
853,39,98,0
854,39,98,0
855,40,99,0
856,41,97,0
857,39,101,0
858,40,96,0
859,40,100,0
860,39,101,0
861,39,99,0
862,40,99,0
863,38,98,0
864,39,98,0
865,40,98,0
866,39,98,0
867,39,100,0
868,40,101,0
869,40,100,0
870,40,100,0
871,39,102,0
872,39,100,0
873,40,100,0
874,40,98,0
875,41,99,0
